#TYPE Selected.System.IO.FileInfo
"FullName","Size(MB)"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\test_local_search.js","0.00096893310546875"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\check_db.js","0.000925064086914063"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\mobile\app.json","0.000773429870605469"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\src\firebaseConfig.js","0.000752449035644531"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\test_client.js","0.000727653503417969"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\songs_summary.json","0.000689506530761719"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\mobile\package.json","0.000585556030273438"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\run_mobile.bat","0.000466346740722656"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\tailwind.config.js","0.000448226928710938"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\.gitignore","0.000438690185546875"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\mobile\.gitignore","0.00041961669921875"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\get_cats.js","0.000378608703613281"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\check_choruses.py","0.000332832336425781"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\mobile\index.js","0.000292778015136719"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\release\builder-effective-config.yaml","0.000274658203125"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\vite.config.js","0.000269889831542969"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\build_desktop.bat","0.000258445739746094"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\src\renderer\main.jsx","0.000241279602050781"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\mobile\eas.json","0.000206947326660156"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\src\renderer\index.css","0.0001983642578125"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\postcss.config.js","9.5367431640625E-05"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\package.json","5.81741333007813E-05"
